Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
3850.0,55.0,1,1.0,17.0,3,0,4.0,4.0,1,5.0,3,8.0,1.0,1.0,0.0,1.0,2,23118.0
2463.0,39.0,1,1.0,9.0,2,1,3.0,4.0,0,3.0,3,7.0,1.0,4.0,0.0,2.0,1,22622.0
878.0,42.0,0,2.0,8.0,3,1,3.0,1.0,1,5.0,0,1.0,0.0,2.0,0.0,2.0,2,21272.0
2482.0,37.0,1,1.0,12.0,2,0,3.0,5.0,0,5.0,0,2.0,1.0,2.0,1.0,1.0,1,98678.0
3074.0,23.0,1,1.0,7.0,2,1,3.0,5.0,1,3.0,0,8.0,0.0,2.0,1.0,1.0,2,23453.0
3002.0,33.0,0,1.0,31.0,2,1,4.0,4.0,1,3.0,0,3.0,0.0,4.0,1.0,1.0,2,23987.0
1261.0,38.0,1,1.0,24.0,3,1,2.0,5.0,1,3.0,1,4.0,1.0,5.0,0.0,1.0,2,20811.0
3187.0,60.0,1,1.0,9.0,2,0,4.0,5.0,4,3.0,2,5.0,1.0,5.0,0.0,3.0,0,32404.0
2230.0,53.0,0,3.0,8.0,3,0,2.0,4.0,3,4.0,1,3.0,0.0,1.0,1.0,0.0,3,22525.0
3643.0,37.0,1,1.0,33.0,2,1,4.0,4.0,1,3.0,1,8.0,0.0,3.0,1.0,1.0,2,24025.0
1897.0,60.0,0,3.0,34.0,3,0,3.0,4.0,3,5.0,1,5.0,0.0,1.0,1.0,0.0,3,25266.0
4738.0,43.0,1,1.0,36.0,3,1,3.0,6.0,1,3.0,3,6.0,0.0,3.0,1.0,2.0,2,22950.0
1480.0,35.0,1,1.0,22.0,3,1,2.0,1.0,0,4.0,1,1.0,0.0,4.0,1.0,1.0,1,17426.0
4557.0,43.0,1,1.0,10.0,2,0,4.0,2.0,1,3.0,1,4.0,1.0,5.0,1.0,1.0,2,23909.0
994.0,52.0,0,1.0,34.0,3,0,2.0,1.0,4,3.0,0,3.0,1.0,4.0,0.0,0.0,0,28247.0
3104.0,59.0,0,1.0,9.0,2,1,3.0,5.0,0,3.0,1,2.0,1.0,2.0,0.0,1.0,1,21058.0
9.0,36.0,1,1.0,33.0,3,1,3.0,3.0,1,3.0,0,7.0,0.0,3.0,1.0,0.0,2,20237.0
3825.0,29.0,0,1.0,23.0,3,1,3.0,4.0,0,3.0,2,3.0,0.0,3.0,0.0,1.0,1,20822.0
4425.0,37.0,1,1.0,16.0,3,1,3.0,5.0,1,4.0,1,4.0,1.0,4.0,0.0,2.0,2,27525.0
198.0,38.0,1,1.0,8.0,2,1,2.0,3.0,1,3.0,0,1.0,0.0,2.0,0.0,1.0,2,21553.0
1012.0,31.0,0,3.0,6.0,2,0,2.0,5.0,0,3.0,2,2.0,0.0,3.0,1.0,1.0,1,16359.0
3069.0,46.0,1,3.0,16.0,3,1,4.0,4.0,3,5.0,1,6.0,1.0,2.0,1.0,1.0,3,29439.0
4873.0,41.0,1,3.0,14.0,3,1,3.0,4.0,0,4.0,3,3.0,0.0,5.0,0.0,1.0,1,23339.0
